timestamp,acceleration
0,0
0.25,6
0.5,5
0.75,6
1,7
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,5
7.5,5
7.75,5
8,5
8.25,5
8.5,5
8.75,-5
9,-5
9.25,-5
9.5,-5
9.75,5
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,0
13.75,0
14,0
14.25,0
14.5,0
14.75,0
15,2
15.25,2
15.5,2
15.75,2
16,2
16.25,2
16.5,2
16.75,2
17,2
17.25,2
17.5,-1
17.75,-1
18,-1
18.25,-1
18.5,-1
18.75,-1
19,-1
19.25,-1
19.5,-1
19.75,-1
20,-1
